AC,MR,LFR,CTR,CTP,CS
15,1,0.33,23,1,3.3
15,1,0.33,23,3,6.2
15,1,0.33,23,7,9.4
15,1,0.33,23,28,28.9
15,1,0.33,50,1,22.7
15,1,0.33,50,3,29
15,1,0.33,50,7,42
15,1,0.33,50,28,46.5
15,1,0.4,23,1,2.6
15,1,0.4,23,3,5
15,1,0.4,23,7,8.1
15,1,0.4,23,28,28.6
15,1,0.4,50,1,19.3
15,1,0.4,50,3,27.5
15,1,0.4,50,7,36.3
15,1,0.4,50,28,46.4
20,1,0.33,23,3,9.5
20,1,0.33,23,7,19.9
20,1,0.33,23,28,57.1
20,1,0.33,50,1,42.9
20,1,0.33,50,3,53.2
20,1,0.33,50,7,65.5
20,1,0.33,50,28,75.9
20,1,0.4,23,1,1.2
20,1,0.4,23,3,7.6
20,1,0.4,23,7,17.7
20,1,0.4,23,28,50.3
20,1,0.4,50,1,29.7
20,1,0.4,50,3,39.1
20,1,0.4,50,7,50.4
25,1,0.33,23,1,4.3
25,1,0.33,23,3,26.5
25,1,0.33,23,7,44
25,1,0.33,23,28,70.1
25,1,0.33,50,1,44.7
25,1,0.33,50,3,59.5
25,1,0.33,50,7,70.6
25,1,0.33,50,28,76
25,1,0.4,23,1,3.4
25,1,0.4,23,3,19.9
25,1,0.4,23,7,42.1
25,1,0.4,23,28,64.9
25,1,0.4,50,1,42.6
25,1,0.4,50,3,54.3
25,1,0.4,50,7,61.8
25,1,0.4,50,28,69
15,1,0.5,23,1,1.3
15,1,0.5,23,3,3.7
15,1,0.5,23,7,6.2
15,1,0.5,23,28,24.6
15,1,0.5,50,1,13.7
15,1,0.5,50,3,22.9
15,1,0.5,50,7,26.9
15,1,0.5,50,28,39.4
15,1,0.6,23,3,3.1
15,1,0.6,23,7,5.5
15,1,0.6,23,28,22.9
15,1,0.6,50,1,10.5
15,1,0.6,50,3,16.8
15,1,0.6,50,7,22.1
15,1,0.6,50,28,38.5
20,1,0.33,23,1,3.3
20,1,0.4,50,28,61.7
20,1,0.5,23,3,4.6
20,1,0.5,23,7,14.4
20,1,0.5,23,28,40.5
20,1,0.5,50,1,19.9
20,1,0.5,50,3,24.6
20,1,0.5,50,7,40.4
20,1,0.5,50,28,49.9
20,1,0.6,23,7,12.9
20,1,0.6,23,28,30.7
20,1,0.6,50,1,9.5
20,1,0.6,50,3,13.5
20,1,0.6,50,7,25.2
20,1,0.6,50,28,32.2
25,1,0.5,23,1,4.1
25,1,0.5,23,3,14.2
25,1,0.5,23,7,38
25,1,0.5,23,28,39.8
25,1,0.5,50,1,25.5
25,1,0.5,50,3,34.3
25,1,0.5,50,7,42.1
25,1,0.5,50,28,53
25,1,0.6,23,3,9.7
25,1,0.6,23,7,28.1
25,1,0.6,23,28,32.1
25,1,0.6,50,1,15.2
25,1,0.6,50,3,20
25,1,0.6,50,7,27.7
25,1,0.6,50,28,39.5
15,1,0.5,23,1,1.1
15,1.5,0.33,23,1,2.7
15,1.5,0.33,23,3,4.7
15,1.5,0.33,23,7,7
15,1.5,0.33,23,28,11.1
15,1.5,0.33,50,1,11.7
15,1.5,0.33,50,3,16.6
15,1.5,0.33,50,7,22
15,1.5,0.33,50,28,28
15,1.5,0.4,23,1,1.5
15,1.5,0.4,23,3,3.1
15,1.5,0.4,23,7,4.5
15,1.5,0.4,23,28,8.3
15,1.5,0.4,50,1,8.2
15,1.5,0.4,50,3,11.9
15,1.5,0.4,50,7,14.1
15,1.5,0.4,50,28,18.6
20,1.5,0.33,23,3,10
20,1.5,0.33,23,7,14.3
20,1.5,0.33,23,28,22.8
20,1.5,0.33,50,1,20.3
20,1.5,0.33,50,3,27
20,1.5,0.33,50,7,30.5
20,1.5,0.33,50,28,32.8
20,1.5,0.4,23,1,2.6
20,1.5,0.4,23,3,6.5
20,1.5,0.4,23,7,10.3
20,1.5,0.4,23,28,20.3
20,1.5,0.4,50,1,15.9
20,1.5,0.4,50,3,22.4
20,1.5,0.4,50,7,25.6
20,1.5,0.4,50,28,29.4
25,1.5,0.33,23,3,17.3
25,1.5,0.33,23,7,24.4
25,1.5,0.33,23,28,40.8
25,1.5,0.33,50,1,36.1
25,1.5,0.33,50,3,45.1
25,1.5,0.33,50,7,52.7
25,1.5,0.33,50,28,59.7
25,1.5,0.4,23,1,2.5
25,1.5,0.4,23,3,9.6
25,1.5,0.4,23,7,16.6
25,1.5,0.4,23,28,32.6
25,1.5,0.4,50,1,25.4
25,1.5,0.4,50,3,35.7
25,1.5,0.4,50,7,44.3
15,1.5,0.5,23,3,2.2
15,1.5,0.5,23,7,3.5
15,1.5,0.5,23,28,6.2
15,1.5,0.5,50,1,5.2
15,1.5,0.5,50,3,8.4
15,1.5,0.5,50,7,10.8
15,1.5,0.5,50,28,13.8
15,1.5,0.6,23,3,1.3
15,1.5,0.6,23,7,2
15,1.5,0.6,23,28,3.5
15,1.5,0.6,50,1,3.3
15,1.5,0.6,50,3,5.6
15,1.5,0.6,50,7,8
15,1.5,0.6,50,28,12
20,1.5,0.33,23,1,4.3
20,1.5,0.5,23,3,3.7
20,1.5,0.5,23,7,6
20,1.5,0.5,23,28,12.8
20,1.5,0.5,50,1,8.5
20,1.5,0.5,50,3,16
20,1.5,0.5,50,7,19.7
20,1.5,0.5,50,28,25.8
20,1.5,0.6,23,3,2.2
20,1.5,0.6,23,7,3.9
20,1.5,0.6,23,28,10
20,1.5,0.6,50,1,7.4
20,1.5,0.6,50,3,12.1
20,1.5,0.6,50,7,16.4
20,1.5,0.6,50,28,24
25,1.5,0.33,23,1,8
25,1.5,0.4,50,28,54.2
25,1.5,0.5,23,3,4.6
25,1.5,0.5,23,7,13.8
25,1.5,0.5,23,28,28.6
25,1.5,0.5,50,1,22
25,1.5,0.5,50,3,31.5
25,1.5,0.5,50,7,38.9
25,1.5,0.5,50,28,46.8
25,1.5,0.6,23,7,6.3
25,1.5,0.6,23,28,24.3
25,1.5,0.6,50,1,9.2
25,1.5,0.6,50,3,19.1
25,1.5,0.6,50,7,26.3
25,1.5,0.6,50,28,36.9
15,2,0.33,23,1,2.6
15,2,0.33,23,3,4.7
15,2,0.33,23,7,6.9
15,2,0.5,23,1,1.2
15,2,0.5,23,3,2.5
15,2,0.5,23,7,3.8
15,2,0.33,23,28,14.6
15,2,0.33,50,1,10.6
15,2,0.33,50,3,15.8
15,2,0.33,50,7,15.8
15,2,0.33,50,28,25.5
15,2,0.4,23,1,1.4
15,2,0.4,23,3,2.8
15,2,0.4,23,7,4.2
15,2,0.4,23,28,6.6
15,2,0.4,50,1,5.1
15,2,0.4,50,3,8.9
15,2,0.4,50,7,12.8
15,2,0.4,50,28,18.6
20,2,0.33,23,3,7.3
20,2,0.33,23,7,11.8
20,2,0.33,23,28,21.9
20,2,0.33,50,1,14.6
20,2,0.33,50,3,20.2
20,2,0.33,50,7,25.7
20,2,0.33,50,28,48.2
20,2,0.4,23,1,2.4
20,2,0.4,23,3,4.6
20,2,0.4,23,7,6.5
20,2,0.4,23,28,14.2
20,2,0.4,50,1,12.3
20,2,0.4,50,3,19.6
20,2,0.4,50,7,24.6
20,2,0.4,50,28,36
25,2,0.33,23,3,11.9
25,2,0.33,23,7,19.3
25,2,0.33,23,28,26.9
25,2,0.33,50,1,23.2
25,2,0.33,50,3,35.8
25,2,0.33,50,7,40.5
25,2,0.33,50,28,49.7
25,2,0.4,23,1,2.7
25,2,0.4,23,3,8
25,2,0.4,23,7,13.1
25,2,0.4,23,28,25.4
25,2,0.4,50,1,19
25,2,0.4,50,3,30.6
25,2,0.4,50,7,39.4
25,2,0.4,50,28,45.2
15,2,0.5,23,28,4.8
15,2,0.5,50,1,6.1
15,2,0.5,50,3,9.1
15,2,0.5,50,7,11.5
15,2,0.5,50,28,14.9
15,2,0.6,23,3,1.4
15,2,0.6,23,7,2
15,2,0.6,23,28,3.4
15,2,0.6,50,1,4.1
15,2,0.6,50,3,5.9
15,2,0.6,50,7,8
15,2,0.6,50,28,13.1
20,2,0.33,23,1,3.6
20,2,0.5,23,3,2.8
20,2,0.5,23,7,4.7
20,2,0.5,23,28,10.3
20,2,0.5,50,1,8.6
20,2,0.5,50,3,13.6
20,2,0.5,50,7,17.6
20,2,0.5,50,28,31.9
20,2,0.6,23,3,1.1
